tunnel_id,label,rr,A_frequency,AAAA_frequency,CNAME_frequency,TXT_frequency,MX_frequency,NS_frequency,NULL_frequency,rr_count,distinct_ip,unique_ttl,total_queries,rr_type,encoding_type,chunking_strategy,subdomain_pattern,timing_pattern,domain_used,success_rate,bytes_out_total,bytes_in_total,accepted
877,0,0.21428571428571427,0.21428571428571427,0.0,,0.6071428571428571,,,,21,1,5,28,"{'TXT', 'A', 'CNAME', 'MX', 'NULL', 'NS'}",none,none,benign,,pixel-vx7195bk5hi6.amazonads.com,1.0,2144.0,19276.0,1
878,0,0.5454545454545454,0.5454545454545454,0.13636363636363635,,0.22727272727272727,,,,22.772727272727273,1,8,22,"{'TXT', 'A', 'AAAA', 'CNAME', 'NULL'}",none,none,benign,,9063233.fls.doubleclick.net,1.0,1568.0,15731.0,1
879,0,0.1724137931034483,0.1724137931034483,0.27586206896551724,,0.41379310344827586,,,,23,0,22,29,"{'TXT', 'A', 'AAAA', 'CNAME', 'MX', 'NULL'}",none,none,benign,,esp8266-d475cfd3.local,1.0,1928.0,22959.0,1
880,0,0.29411764705882354,0.29411764705882354,0.11764705882352941,,0.47058823529411764,,,,21,0,1,17,"{'TXT', 'A', 'AAAA', 'MX', 'NULL'}",none,none,benign,,f6df60wji7ykyjw8u73.net,1.0,1142.0,11250.0,1
881,0,0.28125,0.28125,0.09375,,0.5,,,,21,0,3,32,"{'TXT', 'A', 'AAAA', 'CNAME', 'NULL'}",none,none,benign,,arvahost.com,1.0,1803.0,20522.0,1
882,0,0.3125,0.3125,0.125,,0.3125,,,,21,0,1,16,"{'TXT', 'A', 'AAAA', 'CNAME', 'NS'}",none,none,benign,,ivory.co.uk,1.0,890.0,10555.0,1
883,0,0.5454545454545454,0.5454545454545454,0.0,,0.36363636363636365,,,,22.136363636363637,1,12,22,"{'TXT', 'A', 'NS', 'NULL'}",none,none,benign,,100mile.co.kr,0.9545454545454546,1261.0,14258.0,1
884,0,0.30434782608695654,0.30434782608695654,0.043478260869565216,,0.5217391304347826,,,,21,0,18,23,"{'NULL', 'TXT', 'A', 'AAAA'}",none,none,benign,,tplink-5f678ce8.home,1.0,1482.0,15177.0,1
885,0,0.4230769230769231,0.4230769230769231,0.0,,0.4230769230769231,,,,21,0,1,26,"{'CNAME', 'TXT', 'A', 'NULL'}",none,none,benign,,beacon-8wriqsr9db4z.msft.com,1.0,1881.0,17529.0,1
886,0,0.3,0.3,0.06666666666666667,,0.36666666666666664,,,,21,0,1,30,"{'TXT', 'A', 'AAAA', 'CNAME', 'MX', 'NULL'}",none,none,benign,,zdegyywiraecre.xyz,1.0,1878.0,19752.0,1
887,0,0.45161290322580644,0.45161290322580644,0.0967741935483871,,0.3870967741935484,,,,21,0,5,31,"{'TXT', 'A', 'AAAA', 'CNAME', 'NULL'}",none,none,benign,,mc.ntg.co,1.0,1656.0,19970.0,1
888,0,0.15789473684210525,0.15789473684210525,0.10526315789473684,,0.5263157894736842,,,,21,0,1,19,"{'TXT', 'A', 'AAAA', 'CNAME', 'NULL'}",none,none,benign,,13haber.com,1.0,1054.0,12173.0,1
889,0,0.4857142857142857,0.4857142857142857,0.11428571428571428,,0.2571428571428571,,,,21,0,1,35,"{'TXT', 'A', 'AAAA', 'CNAME', 'MX', 'NULL'}",none,none,benign,,lsk8o4m5n1lwixy60igmg.org,1.0,2433.0,23632.0,1
890,0,0.32558139534883723,0.32558139534883723,0.06976744186046512,,0.37209302325581395,,,,21.3953488372093,2,7,43,"{'TXT', 'A', 'AAAA', 'CNAME', 'MX', 'NULL', 'NS'}",none,none,benign,,wellplated.kit.com,1.0,2682.0,28260.0,1
891,0,0.24,0.24,0.08,,0.56,,,,21,0,17,25,"{'TXT', 'A', 'AAAA', 'CNAME', 'NS'}",none,none,benign,,esp32-da41d3a0.internal,1.0,1686.0,16654.0,1
892,0,0.25806451612903225,0.25806451612903225,0.1935483870967742,,0.3870967741935484,,,,21,0,3,31,"{'TXT', 'A', 'AAAA', 'CNAME', 'NULL', 'NS'}",none,none,benign,,pixel-x5w0g86lutnn.msft.com,1.0,2210.0,20861.0,1
893,0,0.42857142857142855,0.42857142857142855,0.17857142857142858,,0.35714285714285715,,,,21.464285714285715,2,4,28,"{'TXT', 'A', 'NS', 'AAAA'}",none,none,benign,,qattus.com,1.0,1524.0,17099.0,1
894,0,0.3103448275862069,0.3103448275862069,0.1724137931034483,,0.4482758620689655,,,,21,0,2,29,"{'TXT', 'A', 'AAAA', 'NULL', 'NS'}",none,none,benign,,cn.artscad.com,1.0,1694.0,19551.0,1
