model,version,dataset,accuracy,precision,recall,f1,auc
LogisticRegression,original,ARAGAT,0.47674418604651164,1.0,0.47674418604651164,0.6456692913385826,
LogisticRegression,hardened,ARAGAT,1.0,1.0,1.0,1.0,
LogisticRegression,original,CIC,0.9332705156758608,0.8870758590879619,0.9851785178517852,0.9335569897364455,0.9400891976761003
LogisticRegression,hardened,CIC,0.9332419621951916,0.8870279323572317,0.9851785178517852,0.9335304486268267,0.9400646503610975
RandomForest,original,ARAGAT,0.0,0.0,0.0,0.0,
RandomForest,hardened,ARAGAT,1.0,1.0,1.0,1.0,
RandomForest,original,CIC,0.9350979384386957,0.8875902186793062,0.9888388838883888,0.9354829553518208,0.9406770780036003
RandomForest,hardened,CIC,0.9351264919193649,0.8876380285483436,0.9888388838883888,0.9355095089412433,0.9406560724711138
XGBoost,original,ARAGAT,0.0,0.0,0.0,0.0,
XGBoost,hardened,ARAGAT,1.0,1.0,1.0,1.0,
XGBoost,original,CIC,0.9351264919193649,0.8875962729573975,0.9888988898889889,0.935513169845595,0.9412076932484881
XGBoost,hardened,CIC,0.9351264919193649,0.8875962729573975,0.9888988898889889,0.935513169845595,0.9416223939766096
LightGBM,original,ARAGAT,0.0,0.0,0.0,0.0,
LightGBM,hardened,ARAGAT,1.0,1.0,1.0,1.0,
LightGBM,original,CIC,0.9352121523613729,0.8876561826798793,0.989018901890189,0.9356001475889081,0.9408808686065534
LightGBM,hardened,CIC,0.9351835988807036,0.887650131954543,0.988958895889589,0.935569936421435,0.9411072811808063
CNN,original,ARAGAT,0.44573643410852715,1.0,0.44573643410852715,0.6166219839142091,
CNN,hardened,ARAGAT,0.42248062015503873,1.0,0.42248062015503873,0.5940054495912807,
CNN,original,CIC,0.9350408314773571,0.8872860372483583,0.9891389138913892,0.9354481741054961,0.9418547574646335
CNN,hardened,CIC,0.9350408314773571,0.8872860372483583,0.9891389138913892,0.9354481741054961,0.9418287032167836
LSTM,original,ARAGAT,0.07170542635658915,1.0,0.07170542635658915,0.13381555153707053,
LSTM,hardened,ARAGAT,0.09883720930232558,1.0,0.09883720930232558,0.17989417989417988,
LSTM,original,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754243,0.9414894177765546
LSTM,hardened,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754243,0.9412972985482893
