model,dataset,accuracy,precision,recall,f1,auc,strategy
CNN,ARAGAT,0.4457364341085271,1.0,0.4457364341085271,0.6166219839142091,,original
CNN,ARAGAT,0.4224806201550387,1.0,0.4224806201550387,0.5940054495912807,,fine-tuning
CNN,CIC,0.9350408314773572,0.8872860372483583,0.9891389138913892,0.935448174105496,0.9418547574646337,original
CNN,CIC,0.9350408314773572,0.8872860372483583,0.9891389138913892,0.935448174105496,0.9418287032167836,fine-tuning
LSTM,ARAGAT,0.0717054263565891,1.0,0.0717054263565891,0.1338155515370705,,original
LSTM,ARAGAT,0.0988372093023255,1.0,0.0988372093023255,0.1798941798941798,,fine-tuning
LSTM,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754244,0.9414894177765546,original
LSTM,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754244,0.9412972985482893,fine-tuning
CNN,ARAGAT,0.44573643410852715,1.0,0.44573643410852715,0.6166219839142091,,original
CNN,ARAGAT,0.6046511627906976,1.0,0.6046511627906976,0.7536231884057971,,complete-retraining
CNN,CIC,0.9350408314773571,0.8872860372483583,0.9891389138913892,0.9354481741054961,0.9418547574646335,original
CNN,CIC,0.933955799211924,0.887180317254775,0.9866786678667867,0.9342879059064177,0.9415103791797712,complete-retraining
LSTM,ARAGAT,0.07170542635658915,1.0,0.07170542635658915,0.13381555153707053,,original
LSTM,ARAGAT,1.0,1.0,1.0,1.0,,complete-retraining
LSTM,CIC,0.9351835988807036,0.8875249017390836,0.9891389138913892,0.9355809069754243,0.9414894177765546,original
LSTM,CIC,0.9348124036320027,0.8871540863572737,0.9887788778877887,0.9352138255909646,0.941405899047169,complete-retraining
