model,accuracy,precision,recall,f1_score,auc_roc,tp,fp,tn,fn,version
LogisticRegression,0.5,0.0,0.0,0.0,0.5,0,0,30000,30000,baseline
LogisticRegression,0.5,0.0,0.0,0.0,0.5,0,0,30000,30000,hardened
RandomForest,0.5,0.0,0.0,0.0,1.0,0,0,30000,30000,baseline
RandomForest,0.9508333333333333,1.0,0.9016666666666666,0.9482909728308502,0.9999878466666667,27050,0,30000,2950,hardened
XGBoost,0.5,0.0,0.0,0.0,0.9965409422222222,0,0,30000,30000,baseline
XGBoost,0.9147333333333333,0.9999196399871424,0.8295333333333333,0.9067920128261187,0.9999820377777777,24886,2,29998,5114,hardened
LightGBM,0.5,0.0,0.0,0.0,0.9999759244444444,0,0,30000,30000,baseline
LightGBM,0.95095,0.9999260929012231,0.9019666666666667,0.9484236168311105,0.9999934399999999,27059,2,29998,2941,hardened
CNN,0.5,0.0,0.0,0.0,0.5,0,0,30000,30000,baseline
CNN,0.5,0.0,0.0,0.0,0.5,0,0,30000,30000,hardened-ft
CNN,0.5,0.0,0.0,0.0,0.5,0,0,30000,30000,hardened-full
LSTM,0.8375666666666667,1.0,0.6751333333333334,0.8060651888406893,0.9999782266666667,20254,0,30000,9746,baseline
LSTM,0.8376,0.9999012833168806,0.6752666666666667,0.8061281337047354,0.9999782155555555,20258,2,29998,9742,hardened-ft
LSTM,0.8377666666666667,1.0,0.6755333333333333,0.8063502168463773,0.9999980177777777,20266,0,30000,9734,hardened-full
