tunnel_id,seed,encoding_type,chunking_strategy,timing_pattern,insert_position,label,pos_mutation,enc_mutation,chk_mutation,tim_mutation,config_signature
541,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
542,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
543,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
544,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
545,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
546,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
547,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
548,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
549,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
550,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
551,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
552,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
553,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
554,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
555,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
556,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
557,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
558,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
559,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
560,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
561,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
562,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
563,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
564,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
565,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
566,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
567,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
568,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
569,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
570,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
571,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
572,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
573,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
574,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
575,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
576,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
577,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
578,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
579,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
580,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
581,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
582,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
583,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
584,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
585,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
586,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
587,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
588,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
589,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
590,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
591,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
592,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
593,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
594,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
595,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
596,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
597,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
598,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
599,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
600,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
601,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
602,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
603,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
604,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
605,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
606,35,none,none,realistic,-1,0,baseline,baseline,baseline,mutated,baseline|baseline|baseline|mutated
