feature,category,rf_importance,rf_std,xgb_importance,xgb_std,lgb_importance,lgb_std,cnn_importance,cnn_std,lstm_importance,lstm_std,logreg_abs_coef,logreg_std
FQDN_count,Positional,0.09336850439117018,0.17640574709823384,0.08934416,0.0,874,0.0,0.02718718765750603,0.005578821889022411,-0.04829323313564209,0.016159004418355397,1.4046114846188962,0.0
subdomain_length,Positional,0.06569040554400532,0.14026828801103236,0.037638683,0.0,961,0.0,0.05480118969999611,0.007154797281474124,0.022627817074838134,0.007514863790649448,4.145489724100004,0.0
upper,Positional,0.011338040884764167,0.024377729238444546,0.023124672,0.0,188,0.0,-0.0044406797063504585,0.0004928384413984244,0.0030520428015564207,0.0037379737684738435,0.06878854596183263,0.0
lower,Positional,0.03319932194264412,0.0698021845228789,0.006607315,0.0,758,0.0,0.027113058805726387,0.004854150866175602,0.03277944544894709,0.005638569840682781,1.863141764292301,0.0
numeric,Positional,0.060541039113817294,0.14273223783279437,0.0019295539,0.0,287,0.0,0.056641990618353524,0.0029607312249898647,0.03606064274707506,0.0036277418712533068,1.6749811550034266,0.0
entropy,Positional,0.006036845295026225,0.017715957660542535,0.0008385766,0.0,1938,0.0,-0.005640261257419133,0.0020687823836225048,0.013021251199850006,0.009334623092980329,0.0022015026871755952,0.0
special,Positional,0.0881132757944759,0.17263077576440164,0.06286509,0.0,254,0.0,-0.007682086564074164,0.004845410164717085,-0.017219350983801097,0.011756545646107414,2.218838100977027,0.0
labels,Positional,0.05722019468602247,0.13208374949465965,0.14223395,0.0,217,0.0,-0.010021951765293214,0.002225125529735608,-0.002911501317032765,0.004999157645522104,0.3653997750292442,0.0
labels_max,Positional,0.013814543344191703,0.04194326558108876,0.0037193645,0.0,546,0.0,-0.037679404665929804,0.0029732701920080922,0.03480538408164803,0.0074733253252135525,3.2562394079464947,0.0
labels_average,Positional,0.034958205241473354,0.09582862019818052,0.0011162213,0.0,572,0.0,-0.0013097283238257761,0.0038102177166816228,0.04043614405456421,0.0031286742267236326,0.4327541220871592,0.0
len,Positional,0.016300190554850828,0.04172437149033008,0.0019693247,0.0,610,0.0,0.13708582153539994,0.005387547846561317,-0.06973278860898119,0.016230780680555265,1.59429094092331,0.0
rr,Stateful,0.2415096274119301,0.26930301758964237,0.19443998,0.0,1134,0.0,0.0,0.0,-0.0028781732337971586,0.0037484309454137413,2.410460621566312,0.0
A_frequency,Stateful,0.2147154102761108,0.24865679514734396,0.38227236,0.0,273,0.0,-0.003704675103271937,0.0005996171861773494,-0.003149601845986788,0.0037847463867218007,2.4105168308231812,0.0
AAAA_frequency,Stateful,0.0,0.0,0.0,0.0,0,0.0,-0.10739192523492261,0.023116244137019994,0.03434131245395711,0.006035521195811514,0.047429538909289644,0.0
CNAME_frequency,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXT_frequency,Stateful,3.8449410384497485e-06,9.227461747662209e-06,0.0,0.0,0,0.0,-0.1480120698526592,0.007075457868110388,-0.0033207878889498057,0.007786118704072556,0.005471416444304694,0.0
MX_frequency,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NS_frequency,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NULL_frequency,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rr_count,Stateful,0.06319055057847905,0.1125657524111187,0.05190075,0.0,388,0.0,0.036048283434727726,0.007408231339893743,-0.007529056520098054,8.380473496752416e-05,1.2045166520726633,0.0
distinct_ip,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.0016973805301788935,0.0026459844249096718,-0.34294620361928385,0.019892382540717617,0.0,0.0
unique_ttl,Stateful,0.0,0.0,0.0,0.0,0,0.0,-0.012353588487816702,0.005845354608624154,0.015287726250973036,0.010959462276032245,0.0,0.0
total_queries,Stateful,0.0,0.0,0.0,0.0,0,0.0,0.010285500240312884,0.004331750908202033,-0.4313076913477163,0.00504911616517902,0.0,0.0
